name,segment,sub_segment,profile,hq,final_score,acuity,roi_quant,whitespace,closeability,winnability,active_pain_timing,reachability,sourced_share,champion_role,economic_buyer_role,poc_angle,registry_source,registry_regulator,registry_id,registry_as_of,registry_url,evidence_urls
"Northpoint Development Bank, Inc.",thrift_bank,,prospect,"3rd Floor & 4th Floor S.P. Junction Bldg., National Highway Corner A. Mabini St., Brgy. Nueva, San Pedro City, Laguna",36,0.8,0.4,0.6,0.95,0.5,0.25,0.4,0.81,Head of Credit / Credit Risk Officer,President/CEO or COO,"Northpoint's microfinance and MSME lending runs on a branch-based, paper-heavy process—valid ID plus a completed application form, cash-flow-based decisioning for basic-sector borrowers, and an in-house ""Credit Scoring automation"" that, if it works as it appears, is limited in scope and still bottlenecked by manual document review. The angle for a first conversation is to test whether Kita's Document Risk Score and AI Underwriter can sit on top of that existing flow for one loan product (likely the microfinance or MSME line) at a small number of branch-lite units, scoring bank statements, IDs and business permits automatically to see how much of the manual review step it can remove. Success in the pilot would be measured narrowly: days-to-decision on a defined batch of applications, and the share that clear underwriting without a branch officer's manual document check, compared to Northpoint's current baseline. This keeps the test bounded to a handful of units and one product line, matching the scale of a two-branch, family-owned thrift bank rather than assuming enterprise-wide rollout appetite.",BSP Directory of Banks and Non-Bank Financial Institutions: thrift banks,BSP,66,2026-09-14,"https://www.bsp.gov.ph/_api/web/lists/getbytitle('Institutions')/items?$select=InstitutionID,Title,ShortBankName,InstitutionTypeID,InstitutionTypeID2,InstitutionTypeID3,Address,NumOffice,Status,Website,Modified&$filter=InstitutionTypeID%20eq%20'10'&$top=500",http://northpoint.ph/ http://www.northpoint.ph/northpoint/index.php?n=11 http://www.northpoint.ph/northpoint/index.php?n=3 https://www.jobstreet.com.ph/en/companies/502011-northpoint-development-bank https://rocketreach.co/northpoint-development-bank-profile_b5e9a933f42e83a4 https://www.pdic.gov.ph/files/BSDStats/Bank%20Directory_TB%20_website.pdf https://ph.indeed.com/cmp/Northpoint-Development-Bank-2/reviews https://bebee.com/ph/jobs/assistant-branch-head-northpoint-development-bank-inc-laguna-candelaria-quezon--t7xk-770992278 https://ctb.com.ph/northpoint-development-bank-inc-2/
Philippine Savings Bank,thrift_bank,,prospect,"PSBank Center, 777 Paseo de Roxas cor. Sedeno St., Makati City",36,0.5,0.7,0.5,0.9,0.3,0.5,0.4,0.83,Head of Consumer/SME Credit or Retail Lending Credit Risk,Chief Risk Officer or Head of Consumer Banking/Digital Channels,"PSBank's Flexi Personal Loan and SME term loans are underwritten on submitted payslips, ITRs, COEs and bank statements rather than pure bureau data, and provisions rose 73% year-over-year even as business loans grew 11% — a combination that suggests document review and credit risk are both under strain. The angle for a first conversation is a bounded pilot on the personal or SME loan lane only: run Kita's Document Risk Score and AI Underwriter alongside the existing manual review for a fixed volume of incoming applications, and compare days-to-decision and the share resolved without a manual document-verification step against the current process. Given PSBank's scale and Metrobank Group ownership, the test should be framed narrowly enough to avoid group-level procurement — one branch cluster or one product line, one credit officer, a few weeks — with the sole question being whether machine-read documents can match manual underwriters' accuracy at materially faster turnaround.",BSP Directory of Banks and Non-Bank Financial Institutions: thrift banks,BSP,72,2026-09-14,"https://www.bsp.gov.ph/_api/web/lists/getbytitle('Institutions')/items?$select=InstitutionID,Title,ShortBankName,InstitutionTypeID,InstitutionTypeID2,InstitutionTypeID3,Address,NumOffice,Status,Website,Modified&$filter=InstitutionTypeID%20eq%20'10'&$top=500","https://www.moneymax.ph/personal-loan/articles/psbank-flexi-personal-loan https://loanguide.one/ph/psbank-personal-loan/ https://www.psbank.com.ph/media/8872/psbank-2025-sec-17-a-annual-report.pdf https://www.psbank.com.ph/whats-new/ https://www.bsp.gov.ph/_api/web/lists/getbytitle('Institutions')/items?$select=InstitutionID,Title,ShortBankName,InstitutionTypeID,InstitutionTypeID2,InstitutionTypeID3,Address,NumOffice,Status,Website,Modified&$filter=InstitutionTypeID%20eq%20'10'&$top=500 https://www.linkedin.com/company/philippine-savings-bank https://www.banksphilippines.com/2019/02/thrift-banks-in-the-philippines.html https://ctb.com.ph/microsites/psbank/"
Prima Fintech (Philippines) Lending Corporation,lending_company,olp_registered,prospect,Philippines,36,0.45,0.45,0.75,0.95,0.55,0.55,0.25,0.69,Head of Credit Risk / Underwriting,COO / VP of Lending Operations,"Prima Fintech already approves its Light Kredit, Prima Loan and Peso Pocket cash loans in minutes off a single government ID, which suggests the credit decision is largely automated already but likely leans on thin, ID-only signal rather than a richer document-based risk view, and the concurrent hiring across operations, collections and credit/risk points to a team actively trying to tighten delinquency without slowing approvals. The pilot worth proposing is narrow: run Kita's Document Risk Score and AI Underwriter alongside the current flow on a fixed slice of new applications (e.g., one app brand or one week's volume) to test whether adding lightweight document signal (ID plus whatever income or bank data is already captured) can lower early-delinquency or approval-error rates without adding turnaround time. Success would be measured as no increase in time-to-decision paired with a measurable drop in bad-loan rate or manual review kickbacks on the test cohort versus a control cohort run on the existing process, giving the Head of Credit Risk a concrete before/after number to bring to the COO.",SEC list of recorded online lending platforms,SEC,CS201951100,2026-09-14,https://www.sec.gov.ph/lending-companies-and-financing-companies-2/list-of-recorded-online-lending-platforms/,"https://play.google.com/store/apps/details?id=com.online.lending.peso.loan.app.LIGHT.KREDIT.PH https://www.iprimaloan.com/ https://loansharkreview.com/P/Peso-Pocket https://www.glassdoor.com/job-listing/operations-manager-prima-fintech-philippines-lending-corporation-JV_IC4780323_KO0,18_KE19,64.htm?jl=1009844596028 https://www.sec.gov.ph/lending-companies-and-financing-companies-2/list-of-recorded-online-lending-platforms/ https://loanappreviewphilippines.com/prima-loan-review/ https://www.glassdoor.com/job-listing/senior-team-leader-prima-fintech-philippines-lending-corporation-JV_IC4780323_KO0,18_KE19,64.htm?jl=1010002403583 https://www.glassdoor.com/job-listing/operation-supervisor-prima-fintech-philippines-lending-corporation-JV_KO0,20_KE21,66.htm?jl=1009898045865 https://www.linkedin.com/posts/prima-fintech-philippines-lending-corporation-6aaa83189_activity-6552076562357944320-LHDz"
"Pacific Ace Savings Bank, Inc.",thrift_bank,,prospect,"Ground Floor, The Garden by Pacific Ace, Rizal Highway corner Aguinaldo Street, Subic Bay Freeport Zone, Olongapo City",35,0.8,0.3,0.8,0.9,0.4,0.2,0.45,0.77,Head of Credit / Loans Department,Bank President / CEO,"Pacific Ace Savings Bank's ASENSO and Nation Builder loans are built for borrowers without clean collateral or formal financials, leaning on barangay clearances, in-house financial statements, and other documents rather than bureau history — and with no loan application or underwriting feature in its mobile app, that document review likely still happens manually at the single Subic Bay head office. The conversation with the Head of Credit / Loans Department should test a narrow hypothesis: on a sample of recent Nation Builder or ASENSO applications, could Kita's Document Risk Score and AI Underwriter cut days-to-decision and lift the share of files decided without a manual document chase, without changing the bank's existing credit policy? A bounded pilot — say 20-30 past or incoming applications scored in parallel with the current process — would show whether turnaround and rejection-rate gains are real before any procurement conversation with the President.",BSP Directory of Banks and Non-Bank Financial Institutions: thrift banks,BSP,68,2026-09-14,"https://www.bsp.gov.ph/_api/web/lists/getbytitle('Institutions')/items?$select=InstitutionID,Title,ShortBankName,InstitutionTypeID,InstitutionTypeID2,InstitutionTypeID3,Address,NumOffice,Status,Website,Modified&$filter=InstitutionTypeID%20eq%20'10'&$top=500",https://www.pacificacebank.com.ph/asenso https://www.pacificacebank.com.ph/nationbuilder https://ph.placedigger.com/pacific-ace-savings-bank86575688.html https://www.pacificacebank.com.ph/contactus https://play.google.com/store/apps/details?id=com.pacific.ace.pabankonline https://www.pacificacebank.com.ph/ https://www.bsp.gov.ph/_api/web/lists/getbytitle('Institutions')/items https://ctb.com.ph/pacific-ace-savings-bank-inc-2/
"Penbank, Inc. (A Private Development Bank) (formerly: Peninsula Rural Bank, Inc.)",thrift_bank,,prospect,"3/F Penbank Centre, RDRDC Building, Santiago Blvd., Gen. Santos City, South Cotabato 9500",35,0.6,0.4,0.75,0.95,0.45,0.3,0.35,0.83,Head of Credit / Loan Operations Officer,Bank President / CEO (reporting to RD Group ownership),"Penbank's own FAQ describes a branch-based, paper-driven process for its salary and SSS-pension consumer loans — applicants submit a full requirements packet (certificate of employment, salary disclosure, IDs) and wait roughly a day for a manual decision — with no online application portal or named origination/decisioning vendor visible anywhere in its public materials. That points to a bounded pilot for the Head of Credit/Loan Operations: run Kita's Document Risk Score and AI Underwriter on a slice of incoming SSS-pension or salary-loan applications at one or two branches, alongside the existing manual review, to see whether document capture and automated scoring can cut the roughly 24-hour turnaround and reduce the share of files kicked back for incomplete requirements. Success would be measured narrowly — days-to-decision and document rejection/re-submission rate on that pilot cohort versus the current branch process — before any conversation about the collateralized auto, housing or larger SME book, which appears to run through a separate appraisal-and-mortgage-release workflow better left untouched for now.",BSP Directory of Banks and Non-Bank Financial Institutions: thrift banks,BSP,70,2026-09-14,"https://www.bsp.gov.ph/_api/web/lists/getbytitle('Institutions')/items?$select=InstitutionID,Title,ShortBankName,InstitutionTypeID,InstitutionTypeID2,InstitutionTypeID3,Address,NumOffice,Status,Website,Modified&$filter=InstitutionTypeID%20eq%20'10'&$top=500","https://penbank.com.ph/faq/ https://penbank.com.ph/ https://www.sunstar.com.ph/more-articles/penbank-opens-branch-works-for-conversion-into-thrift-bank https://www.glassdoor.com/Jobs/Penbank-Jobs-E2968812.htm https://penbank.com.ph/downloads/ https://www.facebook.com/p/Penbank-Inc-61555144550641/ https://www.bsp.gov.ph/_api/web/lists/getbytitle('Institutions')/items?$select=InstitutionID,Title,ShortBankName,InstitutionTypeID,InstitutionTypeID2,InstitutionTypeID3,Address,NumOffice,Status,Website,Modified&$filter=InstitutionTypeID%20eq%20'10'&$top=500 https://ph.indeed.com/cmp/Penbank https://ctb.com.ph/penbank-inc-a-private-devt-bank-2/ https://www.linkedin.com/company/penbank-inc-"
Wealth Development Bank Corporation,thrift_bank,,prospect,"Taft Financial Center, Cardinal Rosales Ave., Cebu Business Park, Cebu City 6000",35,0.55,0.4,0.75,0.9,0.4,0.35,0.45,0.65,Head of Credit / Chief Risk Officer,President and CEO / COO,"WealthBank's teacher and employee salary-loan line is, like most public-sector payroll lending in the Philippines, likely underwritten branch-by-branch from payslips, employment certificates and IDs rather than bureau data, and the bank shows no public loan origination or decisioning platform beyond its deposit-focused Woori mobile app - suggesting this document intake and credit decision may still run manually. The hypothesis worth testing with the Head of Credit or Chief Risk Officer is whether Kita's Document Risk Score and AI Underwriter can take a slice of new salary-loan or SME applications, from a handful of branches, and cut days-to-decision or reduce document rejection/re-submission rates without changing the bank's credit policy. A bounded pilot - say 100-200 applications scored alongside the existing manual process over 4-6 weeks - would let the risk function see the delta in turnaround and manual-touch rate before any wider procurement conversation, which given the bank's Woori ownership will likely need to happen anyway.",BSP Directory of Banks and Non-Bank Financial Institutions: thrift banks,BSP,81,2026-09-14,"https://www.bsp.gov.ph/_api/web/lists/getbytitle('Institutions')/items?$select=InstitutionID,Title,ShortBankName,InstitutionTypeID,InstitutionTypeID2,InstitutionTypeID3,Address,NumOffice,Status,Website,Modified&$filter=InstitutionTypeID%20eq%20'10'&$top=500","https://wealthbank.com.ph/ https://finanso.com/ph/wealthbank/ https://pitchbook.com/profiles/company/160704-37 https://philjobnet.gov.ph/job-vacancies/company/wealthbank-3057 https://www.facebook.com/WealthBankOfficial/ https://www.bsp.gov.ph/_api/web/lists/getbytitle('Institutions')/items?$select=InstitutionID,Title,ShortBankName,InstitutionTypeID,InstitutionTypeID2,InstitutionTypeID3,Address,NumOffice,Status,Website,Modified&$filter=InstitutionTypeID%20eq%20'10'&$top=500 https://business.inquirer.net/205027/205027 https://ph.jobstreet.com/wealthbank-jobs/in-Cebu-City-Cebu https://ph.jobstreet.com/wealthbank-jobs/in-Mandaue-City-Cebu https://ctb.com.ph/wealthbank-a-development-bank-2/"
Monana Lending Inc,lending_company,olp_registered,prospect,Philippines,35,0.6,0.5,0.75,0.5,0.35,0.35,0.2,0.91,Head of Credit Risk / Collections,President / CEO of the lending company,"Given the identity-match caveat here, the opening conversation should treat the SEC registry entity behind Pautang Online and Pautang Peso as the likely subject, and focus on the gap between its ""funds in as little as 2 hours"" promise and the SEC's finding that disclosed repayment terms didn't match what was actually enforced — a pattern consistent with inconsistent, possibly manual term-setting at the point of underwriting rather than a system-generated, auditable decision. The angle is to propose a small pilot where Kita's Document Risk Score and AI Underwriter run in parallel on a sample of incoming ID- and income-proof-based applications, testing whether an automated, consistently-applied decision layer can hold disclosed terms constant across borrowers and produce an audit trail, with success measured as the share of sampled applications where system-generated terms match what's disclosed to the borrower, and any change in time-to-decision. This is worth testing precisely because the lender appears to run its own homegrown ""online system"" with no named LOS or decisioning vendor, so there's likely open space for a bounded, low-disruption proof rather than a rip-and-replace pitch, and it directly addresses the Head of Credit Risk/Collections' exposure to disclosure disputes.",SEC list of recorded online lending platforms,SEC,CS201916699,2026-09-14,https://www.sec.gov.ph/lending-companies-and-financing-companies-2/list-of-recorded-online-lending-platforms/,https://pautang-online-loan-peso-cash.updatestar.com/en https://pautang-peso.en.softonic.com/iphone https://fintechnews.ph/67718/lending/sec-fines-lhl-online-lending-and-link-credit-lending-for-violations/ https://www.appbrain.com/app/pautang-peso-safe-online-loans/ph.lhl.pautangpeso https://www.sec.gov.ph/lending-companies-and-financing-companies-2/list-of-recorded-online-lending-platforms/ https://www.pautangpeso.com/ https://newsbytes.ph/2025/07/31/sec-cracks-down-on-online-lending-firms-for-abusive-illegal-practices/
Philippine Cashtrout Lending Corporation,lending_company,olp_registered,prospect,Philippines,35,0.45,0.65,0.4,0.9,0.55,0.4,0.65,0.85,Chief Operating Officer / Head of Credit Risk (Mocasa),"Chief Executive Officer, Philippine Cashtrout Lending Corporation / Mocasa","Philippine Cashtrout Lending Corporation's Mocasa app already approves first-time, no-bureau-history borrowers off a single government ID and proof of income in as fast as five minutes, which suggests an in-house decisioning and OTP/identity stack is doing real work but leaves open how much of that speed comes from thin verification versus genuine document risk scoring. The hypothesis worth testing is whether Kita's Document Risk Score and AI Underwriter can hold approval times flat or faster while tightening fraud and default risk on the ID and income-proof documents Mocasa already collects, particularly as it pushes into BNPL-style credit lines where document quality matters more. A bounded pilot could run Kita's scoring in parallel on a slice of live Mocasa applications for 4-6 weeks, comparing document rejection rate, share of applications needing manual review, and time-to-decision against the current flow before any commitment to replace existing tooling.",SEC list of recorded online lending platforms,SEC,CS201910407,2026-09-14,https://www.sec.gov.ph/lending-companies-and-financing-companies-2/list-of-recorded-online-lending-platforms/,https://play.google.com/store/apps/details?id=com.mocasa.ph&hl=en https://www.mocasa.com/blog/home-credit-loan-app-requirements-a-complete-guide/ https://pinoypautangonline.blogspot.com/2019/10/cashoyo.html https://www.linkedin.com/company/mocasa-ph/ https://businessmirror.com.ph/2023/05/26/lender-expects-online-platform-users-to-grow/ https://www.zoominfo.com/c/mocasa/479734833 https://www.sec.gov.ph/wp-content/uploads/2021/08/2021_0825ListLCFCApps.pdf https://ploan.ph/register/3015/ https://www.mocasa.com/blog/is-philippine-cashtrout-lending-corp-a-legit-and-reliable-lender/ https://pitchbook.com/profiles/company/491232-70 https://fintechalliance.ph/Member/robin-wong/
GoTyme Bank Corporation,digital_bank,,prospect,"21st Floor, Units 3 and 4, work.able Giga Tower, Bridgetowne, 80 Eulogio Rodriguez Jr. Avenue, Brgy. Ugong Norte, Quezon City, Phillipines, 1110",34,0.5,0.65,0.3,0.95,0.5,0.75,0.45,0.94,Lending/Credit Business Owner (P&L owner for GoTyme's lending products),Chief Risk Officer or Head of Credit Analytics,"GoTyme's SAVii-powered salary lending line is the one product that still runs on classic document underwriting — payslips, company ID, government ID — while its PayMongo-based MSME lending and MoreTyme BNPL have already moved to behavioural/transaction-data decisioning, so the wedge is narrow: SAVii, not the whole bank. With a Lending Business Owner role currently open to build GoTyme's next-generation lending product end-to-end, the timing suggests underwriting architecture is actively being reconsidered, making this a plausible moment to test whether Kita's Document Risk Score and AI Underwriter can cut manual review on SAVii's payslip/ID intake. The bounded pilot: run Kita alongside the existing SAVii flow on a fixed slice of new salary-loan applications for 60-90 days, measuring days-to-decision and share of applications cleared without manual document review against the current baseline. If those metrics move, it's a case for expanding into GoTyme's broader lending stack; if not, the cost of finding out is small and contained to one product line.",BSP Directory of Banks and Non-Bank Financial Institutions: digital banks,BSP,465,2026-09-14,"https://www.bsp.gov.ph/_api/web/lists/getbytitle('Institutions')/items?$select=InstitutionID,Title,ShortBankName,InstitutionTypeID,InstitutionTypeID2,InstitutionTypeID3,Address,NumOffice,Status,Website,Modified&$filter=InstitutionTypeID%20eq%20'14'&$top=500",https://play.google.com/store/apps/details?id=io.savii.android&hl=en https://www.mochi.ph/insights/banking-on-a-better-world-the-phygital-banking-experience https://www.paymongo.com/products/capital https://fintechnews.ph/72561/fintech/philippines-fintech-report-2026-summary/ https://fintechnews.ph/62616/digital-banking-news-philippines/gotyme-bank-expands-payroll-and-lending-reach-with-acquisition-of-savii/ https://www.fintechfutures.com/keyword/philippines https://builtin.com/job/credit-business-owner/6571925 https://www.dealstreetasia.com/stories/gotyme-bank-philippines-302498 https://fintechnews.ph/64893/blockchain/bsp-gotyme-virtual-asset-service-provider/ https://www.philstar.com/business/2025/11/14/2487022/gotyme-forges-global-partnerships https://www.businesswire.com/news/home/20251207383870/en
Hupan Lending Technology Inc,lending_company,olp_registered,prospect,Philippines,34,0.5,0.55,0.65,0.7,0.5,0.3,0.2,0.44,Head of Credit / Chief Risk Officer,CEO / Founder,"Hupan's Cashme brand approves unsecured PHP 500-30,000 loans off little more than a valid ID and mobile/device signals (call logs, SMS, contacts), which likely means fraud and repayment risk are being priced with thin, unverified inputs rather than a real document-based risk assessment — a plausible driver of the aggressive collections behavior that's shown up in borrower complaints and the SEC's scrutiny of its platform family. The angle for Kita is to propose a narrow pilot of Document Risk Score and the AI Underwriter on a slice of new Cashme (or Sukiloan/EZLoan) applications, running Kita's decision in shadow mode alongside the existing automatic-approval flow to see whether adding lightweight document/ID verification changes predicted default or fraud flags without adding friction to the sub-5-minute application. Success would be measured as a reduction in flagged high-risk approvals or an improvement in decision confidence at the same or faster turnaround, giving the Head of Credit/CRO evidence before touching the live approval logic. This is framed as a test of whether document-grounded underwriting can tighten risk on an already-fast, already-automated book — not an assumption that Hupan has a manual bottleneck to remove.",SEC list of recorded online lending platforms,SEC,CS201901197,2026-09-14,https://www.sec.gov.ph/lending-companies-and-financing-companies-2/list-of-recorded-online-lending-platforms/,https://hfc.edu.vn/cashme.html https://retailasiaonline.com/cashme.html https://www.cashme.ph/ https://privacy.gov.ph/wp-content/uploads/2024/04/NPC-19-621-2020.11.19-AMP-v.-Hupan-Lending-Technology-Cash-Me-Decision-Final.pdf https://cashme-cash-loan-online-app-2.updatestar.com/ https://www.sec.gov.ph/lending-companies-and-financing-companies-2/list-of-recorded-online-lending-platforms/ https://www.philstar.com/business/2025/05/27/2445992/sec-cracks-whip-erring-online-lending-platforms https://milyonaryo.com.ph/no-solid-proof-sec-lifts-suspension-on-hupan-lending-finds-no-link-to-unregistered-magic-peso-app/ https://ktktld.edu.vn/cashme.html https://ph.indeed.com/cmp/Hupan-Lending-Technology-Inc./reviews
Inclusive Credit Lending Inc.,lending_company,olp_registered,prospect,Philippines,34,0.65,0.3,0.75,0.55,0.35,0.65,0.2,0.67,Head of Credit Risk and Underwriting,CEO / General Manager of the lending company,"Inclusive Credit Lending's Pinoy Peso app already underwrites small unsecured cash loans off a single government ID and self-declared income, with risk scoring that appears to run on homegrown device/app-usage signals rather than a purchased decisioning platform — and the July 2026 SEC fine over excessive rates and collection practices, paired with active hiring into Credit Risk and Underwriting, suggests the team is under pressure to make that scoring more defensible and consistent. The hypothesis worth testing is narrow: route a slice of new Pinoy Peso applications through Kita's AI Underwriter and Document Risk Score to see whether ID and income verification can be scored with clearer, auditable criteria than the current in-house signal, without changing the loan product itself. Success in a bounded pilot would be measurable as a reduction in manual review steps on that slice and a documented, consistent basis for approval/decline decisions that could hold up to regulatory scrutiny — not a claim about volume or revenue impact yet, since no public loan-book or growth figures exist to size that.",SEC list of recorded online lending platforms,SEC,CS201909928,2026-09-14,https://www.sec.gov.ph/lending-companies-and-financing-companies-2/list-of-recorded-online-lending-platforms/,https://play.google.com/store/apps/details?hl=en_US&id=com.ph.pinoy.peso https://www.inclusivelend.com/ https://ploan.ph/register/3007/ https://appadvice.com/app/pinoy-peso/1475625804 https://www.sec.gov.ph/lending-companies-and-financing-companies-2/list-of-recorded-online-lending-platforms/ https://play.google.com/store/apps/details?id=com.ph.pinoy.peso https://mb.com.ph/2026/07/24/sec-fines-pinoy-peso-operator-over-excessive-rates-harassment https://ph.jobstreet.com/inclusive-credit-lending-inc-jobs/in-Marikina-City-Metro-Manila
Link Credit Lending Investors Inc,lending_company,olp_registered,prospect,Philippines,34,0.5,0.5,0.65,0.65,0.5,0.4,0.2,0.53,Head of Credit Risk / Collections,President / CEO,"Link Credit Lending's Pesoin and iPeso brands run small-ticket unsecured cash loans (roughly ₱1,500-8,000) decided from minimal ID and mobile-based checks rather than deep document review, and the SEC's mid-2025 finding of 200+ collection complaints suggests weaker upstream risk controls may be feeding downstream collections problems. The hypothesis worth testing is narrow: whether adding Kita's Document Risk Score to the existing ID/eligibility check at application meaningfully improves early risk segmentation without slowing the near-instant approval flow borrowers expect. A bounded pilot could route a slice of new iPeso or Pesoin applicants through Kita's AI Underwriter alongside the current process for 4-6 weeks, comparing early delinquency rates and share of applications flagged for manual review against the incumbent flow, with the Head of Credit Risk/Collections judging whether it's worth widening given the regulator's stated intolerance for further violations.",SEC list of recorded online lending platforms,SEC,CS201914644,2026-09-14,https://www.sec.gov.ph/lending-companies-and-financing-companies-2/list-of-recorded-online-lending-platforms/,https://ipeso.en.softonic.com/iphone https://www.philstar.com/business/2025/07/30/2461680/sec-fines-2-lending-firms-violations https://fintechnews.ph/67718/lending/sec-fines-lhl-online-lending-and-link-credit-lending-for-violations/ https://play.google.com/store/apps/details?id=com.makati.pesocashloan&hl=en_US https://www.pesoin.com/ https://www.sec.gov.ph/lending-companies-and-financing-companies-2/advisories-and-notices/ https://www.facebook.com/61567811744496
Mabilis Cash Financing Corp,lending_company,olp_registered,prospect,Philippines,34,0.5,0.55,0.5,0.85,0.55,0.4,0.3,0.71,Head of Credit / Risk Officer,CEO / Co-founder of the lending company,"Mabilis Cash already approves loans in minutes off a government ID and basic employment info using what appears to be an in-house alternative-scoring model, but public reviews mention applicants getting auto-rejected without explanation — a pattern consistent with a scoring model that can't confidently price thin-file borrowers at the margins and defaults to declining them. The hypothesis worth testing is narrow: run Kita's Document Risk Score and AI Underwriter alongside the existing flow on a sample of borderline or rejected applications to see whether richer document-derived signal (ID and employment artifacts already being collected) would have approved a meaningful share of those declines without added fraud risk. A bounded pilot could track, over a few hundred applications, the delta in approval rate on previously-declined thin-file cases and any change in time-to-decision versus the current five-minute baseline, giving the Head of Credit/Risk a concrete read before any broader integration conversation.",SEC list of recorded online lending platforms,SEC,CS201907662,2026-09-14,https://www.sec.gov.ph/lending-companies-and-financing-companies-2/list-of-recorded-online-lending-platforms/,https://play.google.com/store/apps/details?id=com.loans.lending.onlinelend.mabiliscash&hl=en https://filipinobusinesshub.com/mabilis-cash-review/ https://allthebestloans.ph/loan/mabilis-cash/ https://www.mabiliscash.ph/ https://www.mabiliscash.ph/r-l/LtuuMLZW https://www.philstar.com/business/2025/08/26/2468013/sec-halts-operations-7-more-online-lenders https://play.google.com/store/apps/details?id=com.loans.lending.onlinelend.mabiliscash
"MCP Finance Inc (formerly “Transnational Financial Services, Inc.”)",lending_company,olp_registered,prospect,Philippines,34,0.55,0.4,0.7,0.9,0.4,0.45,0.3,0.83,"Head of Credit / Risk Officer, MCP Finance Inc.","President / Managing Director, MarCoPay Group (parent of MCP Finance Inc.)","MCP Finance underwrites small, non-collateral salary and allottee loans for seafarers through the MarCoPay app, a genuinely thin-file population whose credit case rests on contracts, allotment slips, and IDs rather than bureau history, though it's unclear from public materials whether any manual review step still sits between application and decision. The bounded pilot worth proposing is narrow: run Kita's Document Risk Score and AI Underwriter on a sample of recent salary/allottee loan applications to test whether contract and ID verification plus a credit decision can be compressed from MFI's current (undisclosed) turnaround to a defined same-day benchmark, without touching the Security Bank referral flow or the eWallet's own transactional data. Success would be measured narrowly - days-to-decision and the share of that sample decided without any manual document check - so the Head of Credit/Risk can see the effect on their own book before any conversation escalates to the MarCoPay group level. This treats the account as a hypothesis test on a specific loan line, not an assumption that MFI's process is currently slow or manual.",SEC list of recorded online lending platforms,SEC,138629,2026-09-14,https://www.sec.gov.ph/lending-companies-and-financing-companies-2/list-of-recorded-online-lending-platforms/,https://www.marcopayinc.com/AboutUs https://www.mcp-finance.com/ https://play.google.com/store/apps/details?id=com.marcopayinc.www.MarCoPay https://mfi.marcopaygroup.com/ https://www.nyk.com/english/stories/04/02/20260512.html https://www.bworldonline.com/banking-finance/2023/04/12/516011/security-bank-partners-with-mcp-to-offer-loan-products-to-seafarers/ https://www.sec.gov.ph/lending-companies-and-financing-companies-2/list-of-recorded-online-lending-platforms/
Cashmum Lending Investors Corp.,lending_company,olp_registered,prospect,Philippines,33,0.7,0.4,0.6,0.85,0.5,0.25,0.2,0.47,Head of Credit / Underwriting Operations,CEO / President of the lending company,"Cashmum's entire flow runs on a single government ID and bank card, with a ""quick review"" step before same-day disbursement — a setup that suggests fast but likely still manually-touched approval on a high-volume, low-ticket book (PHP 1,000-30,000), where every hour of review time is disproportionately costly relative to loan size. The hypothesis worth testing with the Head of Credit/Underwriting Operations is whether Kita's Document Risk Score and AI Underwriter can take a slice of new applications from ID upload straight to an auto-decision without human touch, since no named LOS or decisioning vendor appears in Cashmum's public footprint and the ""automatic approval"" language on its own site hints the current system may be closer to rules-based than true ML scoring. A bounded pilot — routing a fixed batch of incoming applications through Kita's underwriting layer alongside the existing process — would let both sides compare share of applications resolved without manual review and time-to-decision before any commitment to swap out the core flow.",SEC list of recorded online lending platforms,SEC,CS202102336,2026-09-14,https://www.sec.gov.ph/lending-companies-and-financing-companies-2/list-of-recorded-online-lending-platforms/,http://www.cashmumlending.com/ https://chrome-stats.com/d/com.myapp.cashmum https://play.google.com/store/apps/details?id=com.myapp.cashmum&hl=en https://cashmum.net/ https://ploan.ph/register/3413/ https://www.sec.gov.ph/sec-issuances/cease-and-desist-orders/ https://www.facebook.com/CashMumCorp168/
